feature,importance
coal_pci_rz26,31
met_coal_cn_lag4,31
met_coal_ind_rz4,31
bdry_freight_lag6,31
usd_eur_rz26,31
Target_Proxy_rmax26,30
fx_effect_lag26,30
vix_rmin8,30
met_coal_cn_ret,29
met_coal_cn_rm13,29
usd_eur_lag4,29
dbb_base_metals_etf_rmax13,29
usd_cny_rmax26,29
vix_rmin4,29
vix_rmin13,29
bdry_freight,28
aluminium_price_index_rmax8,28
crude_oil_csv_lag2,28
al_scrap_zorba_ind_lag26,28
vix_rm8,28
crude_oil_csv_lag1,27
coal_pci_rm26,27
al_scrap_zorba_ind_rz26,27
met_coal_cn_lag8,27
met_coal_ind_lag8,27
usd_eur_rm4,27
usd_eur_rm8,27
met_coal_ind,26
al_scrap_zorba_ind_lag2,26
al_tense_scrap_rz8,26
met_coal_ind_rm26,26
bdry_freight_rz8,26
usd_inr_lag1,26
usd_inr_rmax8,26
crude_oil_rmax4,26
aluminium_price_index_rmax4,25
crude_oil_csv_lag4,25
crude_oil_csv_lag13,25
al_scrap_zorba_cn_rz8,25
usd_inr_lag4,25
coal_pci,24
Target_Proxy_rmax8,24
lme_3m_benchmark_rm13,24
al_alloy_secondary_226_rz8,24
al_alloy_secondary_226_rz13,24
usd_inr_rm8,24
usd_eur_rm13,24
fx_effect_rmax8,24
usd_cny_rz26,24
electricity_power_index_lag26,23
electricity_power_index_rm13,23
lme_3m_benchmark_rm8,23
al_alloy_secondary_226_lag4,23
bdry_freight_lag26,23
usd_inr_lag8,23
al_alloy_secondary_226_rz26,22
crude_oil_csv_lag6,22
coal_pci_rz13,22
al_tense_scrap_rz13,22
al_tense_scrap_rz26,22
usd_cny_rmin4,22
lme_3m_benchmark_rmin8,21
al_alloy_secondary_226_rm26,21
met_coal_ind_rm4,21
usd_cny_rmax4,21
usd_cny_rm13,21
vix_rm13,21
aluminium_price_index_rm4,20
aluminium_price_index_rm26,20
al_scrap_zorba_cn_lag6,20
al_scrap_zorba_cn_rz13,20
met_coal_ind_rz26,20
fx_effect_lag6,20
aluminium_price_index_rmin8,19
al_scrap_zorba_cn_rmin4,19
met_coal_cn_rz8,19
met_coal_cn_rz13,19
met_coal_ind_lag13,19
met_coal_ind_rz8,19
usd_eur_rmin4,19
usd_cny_rmax8,19
vix_rmax8,19
al_tense_scrap_lag13,18
met_coal_cn_lag6,18
usd_inr_rm13,18
usd_cny_rm8,18
crude_oil_rm4,18
aluminium_price_index_rm8,17
aluminium_price_index_rm13,17
aluminium_price_index_rmin13,17
al_scrap_zorba_cn_lag2,17
usd_cny_rmin8,17
vix_rmax13,17
aluminium_price_index_rmax26,16
crude_oil_csv_rmin8,16
coal_pci_rmin4,16
al_scrap_zorba_ind_lag1,16
al_tense_scrap_rmax8,16
met_coal_cn_rm4,16
met_coal_cn_rz4,16
met_coal_ind_lag1,16
xme_mining_etf_rm4,16
xme_mining_etf_rm8,16
aluminium_price_index_rmin4,15
aluminium_price_index_rmax13,15
crude_oil_csv_rm4,15
coal_pci_lag4,15
coal_pci_rm13,15
met_coal_cn_rmin13,15
usd_eur_rmax8,15
fx_effect_rm8,15
electricity_power_index_rmin8,14
coal_pci_lag2,14
coal_pci_lag6,14
coal_pci_lag13,14
al_scrap_zorba_ind_lag4,14
met_coal_cn_rm26,14
bdry_freight_rmax4,14
usd_inr_rm4,14
fx_effect_rm26,14
usd_cny_rm4,14
lme_3m_benchmark_rmax4,13
met_coal_cn_rm8,13
met_coal_ind_rz13,13
usd_eur_rmax4,13
fx_effect_rmax4,13
fx_effect_rmax13,13
crude_oil_rm8,13
al_scrap_zorba_cn_lag13,12
al_scrap_zorba_cn_rz26,12
al_scrap_zorba_ind_rmin4,12
met_coal_cn_rmin8,12
fx_effect_rmin4,12
fx_effect_rmin8,12
xme_mining_etf_rmin4,12
xme_mining_etf_rm13,12
crude_oil_rmin13,12
crude_oil_rm26,12
electricity_power_index_rmin26,11
al_alloy_secondary_226_rmax8,11
al_alloy_secondary_226_rmax26,11
crude_oil_csv_rm26,11
al_tense_scrap_lag1,11
bdry_freight_rmin8,11
usd_inr_rmax4,11
fx_effect_rmin13,11
vix_rmin26,11
crude_oil_rm13,11
al_alloy_secondary_226_lag2,10
al_scrap_zorba_ind_lag8,10
al_scrap_zorba_ind_lag13,10
met_coal_ind_lag26,10
bdry_freight_rmin4,10
bdry_freight_rm26,10
usd_eur_rm26,10
fx_effect_rm4,10
fx_effect_rm13,10
xme_mining_etf_rm26,10
usd_cny_rm26,10
usd_cny_rmin26,10
vix_rmax26,10
crude_oil_rmax8,10
crude_oil_rmin8,10
al_alloy_secondary_226_lag6,9
al_scrap_zorba_cn_lag1,9
al_scrap_zorba_cn_lag26,9
al_scrap_zorba_ind_lag6,9
usd_inr_rmin4,9
usd_inr_rmin8,9
usd_eur_rmax13,9
month,9
al_alloy_secondary_226_rm8,8
coal_pci_rm4,8
al_scrap_zorba_ind_rz13,8
met_coal_cn_rz26,8
met_coal_cn_rmax26,8
met_coal_ind_rmax13,8
bdry_freight_rmax8,8
xme_mining_etf_rmax4,8
al_tense_scrap,7
crude_oil_csv_rm13,7
al_scrap_zorba_cn_lag4,7
al_scrap_zorba_cn_lag8,7
al_scrap_zorba_ind_rm4,7
al_tense_scrap_lag4,7
al_tense_scrap_rmax4,7
bdry_freight_rm8,7
bdry_freight_rm13,7
usd_inr_rmax26,7
al_scrap_zorba_cn,6
Target_Proxy_rmin26,6
lme_3m_benchmark_rmax8,6
al_alloy_secondary_226_lag1,6
al_alloy_secondary_226_rmax4,6
crude_oil_csv_lag26,6
crude_oil_csv_rmax8,6
al_scrap_zorba_ind_rm8,6
al_scrap_zorba_ind_rm26,6
al_tense_scrap_lag2,6
met_coal_cn_rmax4,6
met_coal_ind_lag2,6
xme_mining_etf_rmin8,6
lme_3m_benchmark_rmin13,5
crude_oil_csv_rmin26,5
coal_pci_lag8,5
al_scrap_zorba_ind_rm13,5
al_tense_scrap_lag8,5
al_tense_scrap_rmax26,5
met_coal_cn_rmin26,5
met_coal_ind_rmax4,5
met_coal_ind_rmin4,5
usd_eur_rmin13,5
xme_mining_etf_rmax8,5
crude_oil_rmax13,5
electricity_power_index_rmin13,4
lme_3m_benchmark_rmin26,4
crude_oil_csv_rm8,4
coal_pci_rm8,4
met_coal_ind_rm8,4
met_coal_ind_rm13,4
usd_eur_rmin26,4
dbb_base_metals_etf_rmin26,4
xme_mining_etf_rmax13,4
usd_cny_rmin13,4
al_alloy_secondary_226_rmin13,3
crude_oil_csv_rmax4,3
crude_oil_csv_rmin4,3
al_tense_scrap_rm4,3
al_tense_scrap_rmin4,3
al_tense_scrap_rm8,3
al_tense_scrap_rm13,3
al_tense_scrap_rmax13,3
met_coal_cn_lag1,3
met_coal_cn_lag2,3
met_coal_cn_rmax8,3
met_coal_ind_rmin8,3
met_coal_ind_rmin26,3
bdry_freight_rmax13,3
bdry_freight_rmax26,3
bdry_freight_rmin26,3
usd_inr_rm26,3
usd_eur_rmax26,3
al_scrap_zorba_ind,2
al_alloy_secondary_226_rmin8,2
crude_oil_csv_rmax26,2
coal_pci_rmax4,2
coal_pci_rmax13,2
al_scrap_zorba_cn_rm4,2
al_scrap_zorba_cn_rmax4,2
al_scrap_zorba_ind_rmax8,2
al_tense_scrap_rm26,2
met_coal_ind_lag4,2
met_coal_ind_rmax8,2
fx_effect_rmin26,2
xme_mining_etf_rmax26,2
xme_mining_etf_rmin26,2
aluminium_price_index_rmin26,1
al_alloy_secondary_226_rmax13,1
al_alloy_secondary_226_rmin26,1
crude_oil_csv_rmax13,1
coal_pci_lag26,1
coal_pci_rmax8,1
coal_pci_rmin8,1
coal_pci_rmin26,1
al_scrap_zorba_cn_rmax8,1
al_scrap_zorba_cn_rm13,1
al_scrap_zorba_cn_rmax13,1
al_scrap_zorba_cn_rmax26,1
al_scrap_zorba_ind_rmin8,1
met_coal_cn_rmin4,1
met_coal_ind_rmin13,1
met_coal_ind_rmax26,1
bdry_freight_rmin13,1
usd_inr_rmax13,1
usd_inr_rmin13,1
fx_effect_rmax26,1
covid_disruption,0
rusal_sanctions_2018,0
european_energy_crisis_2022,0
china_tax_rebate_cancellation_2024,0
middle_east_supply_halts,0
logistics_spike,0
china_power_curbs_2021,0
ukraine_war_onset,0
india_infra_push,0
al_alloy_secondary_226_rm4,0
al_alloy_secondary_226_rmin4,0
crude_oil_csv_rmin13,0
coal_pci_rmin13,0
coal_pci_rmax26,0
al_scrap_zorba_cn_rm8,0
al_scrap_zorba_cn_rmin8,0
al_scrap_zorba_cn_rmin13,0
al_scrap_zorba_cn_rm26,0
al_scrap_zorba_cn_rmin26,0
al_scrap_zorba_ind_rmax4,0
al_scrap_zorba_ind_rmax13,0
al_scrap_zorba_ind_rmin13,0
al_scrap_zorba_ind_rmax26,0
al_scrap_zorba_ind_rmin26,0
al_tense_scrap_rmin8,0
al_tense_scrap_rmin13,0
al_tense_scrap_rmin26,0
usd_inr_rmin26,0
crude_oil_rmax26,0
quarter,0
