date,predicted_index,real_price,regime_probability,steel_etf,iron_ore,thermal_coal_futures,bdry_freight,al_price,india_steel,vix,usd_inr,silica_quartz_index,cny_inr,hydrology_rainfall_index,zce_fesi_futures,carbon_emissions_futures,electricity_power_index,fx_effect
2026-11-13,271.98085,112.826,0.3055,119.5096,159.541,72.5066,14.4874,3663.9089,1001.0677,15.7488,102.2781,148.27,13.786,100.0,5628.0,74.71,134.6488,7.419
2026-11-20,270.23442,112.1016,0.3248,128.7065,156.7812,70.7889,14.8246,3674.9921,1043.4757,14.4547,103.0514,148.27,13.786,100.0,5628.0,74.71,132.1695,7.4751
2026-11-27,271.6373,112.6835,0.3373,127.5047,152.9812,79.2614,16.0993,3497.377,1024.6598,17.518,102.218,148.27,13.786,100.0,5628.0,74.71,144.3978,7.4146
2026-12-04,271.73125,112.7225,0.3352,123.8507,152.9894,70.0649,18.4205,3474.6213,1062.1067,19.3067,103.2928,148.27,13.786,100.0,5628.0,74.71,131.1246,7.4926
2026-12-11,268.54182,111.3994,0.3269,127.4108,158.586,75.0158,17.836,3416.2208,1127.7061,13.8941,104.5379,148.27,13.786,100.0,5628.0,74.71,138.2702,7.5829
2026-12-18,266.65821,110.618,0.333,123.8265,158.3353,80.872,18.9437,3473.3646,1133.1989,10.9971,103.9519,148.27,13.786,100.0,5628.0,74.71,146.7225,7.5404
2026-12-25,268.6847,111.4587,0.3795,124.5396,164.8655,83.1738,19.076,3719.0175,1154.4232,10.2458,105.4227,148.27,13.786,100.0,5628.0,74.71,150.0447,7.6471
2027-01-01,266.48871,110.5477,0.3796,124.2141,171.6123,76.3417,20.2757,3709.7408,1089.6701,12.0812,104.0926,148.27,13.786,100.0,5628.0,74.71,140.1839,7.5506
2027-01-08,266.47027,110.5401,0.3359,127.8027,178.5906,79.7682,22.6848,3793.6317,1084.4177,11.9246,103.9273,148.27,13.786,100.0,5628.0,74.71,145.1293,7.5386
2027-01-15,260.83356,108.2018,0.3369,130.1045,178.0208,81.084,23.219,3539.3947,1043.8199,11.7045,103.9317,148.27,13.786,100.0,5628.0,74.71,147.0285,7.5389
2027-01-22,260.18214,107.9316,0.3195,139.7475,180.3563,79.6051,20.6724,3407.624,1069.1806,13.8651,105.1501,148.27,13.786,100.0,5628.0,74.71,144.894,7.6273
2027-01-29,261.38736,108.4315,0.3043,141.5995,196.0964,80.1531,23.2498,3430.5823,1124.8018,16.3362,105.3207,148.27,13.786,100.0,5628.0,74.71,145.6848,7.6397
2027-02-05,261.21301,108.3592,0.2329,151.8796,203.2911,78.1321,22.7187,3267.7852,1198.2838,18.8184,105.2572,148.27,13.786,100.0,5628.0,74.71,142.7679,7.6351
2027-02-12,255.30223,105.9072,0.243,148.8228,214.7027,82.801,23.3344,3271.7298,1241.2208,17.9682,104.0284,148.27,13.786,100.0,5628.0,74.71,149.5065,7.5459
2027-02-19,258.5882,107.2704,0.2309,156.951,202.5182,82.2076,23.2535,3173.6176,1268.5909,20.2435,103.8462,148.27,13.786,100.0,5628.0,74.71,148.6502,7.5327
2027-02-26,261.10154,108.313,0.2303,154.0505,198.6834,78.3472,22.3539,3048.6122,1258.9629,20.4128,102.1698,148.27,13.786,100.0,5628.0,74.71,143.0784,7.4111
2027-03-05,264.32116,109.6486,0.2191,157.9865,208.7235,82.3923,21.3899,2988.356,1291.7785,18.6769,101.2942,148.27,13.786,100.0,5628.0,74.71,148.9168,7.3476
2027-03-12,271.09746,112.4596,0.1443,153.7758,190.9432,86.6463,19.9151,2994.9979,1347.9301,15.9603,101.3855,148.27,13.786,100.0,5628.0,74.71,155.0566,7.3542
2027-03-19,276.70947,114.7876,0.1749,148.4137,184.0791,85.7001,19.8803,2907.8763,1311.0633,14.0829,101.1582,148.27,13.786,100.0,5628.0,74.71,153.6908,7.3377
2027-03-26,274.78306,113.9885,0.1564,155.9852,189.0852,81.3933,19.9097,3119.6748,1370.708,13.1098,102.3608,148.27,13.786,100.0,5628.0,74.71,147.4748,7.425
2027-04-02,274.16369,113.7315,0.1402,166.5045,179.3022,72.6984,21.3854,3126.0239,1379.0424,12.3604,102.2123,148.27,13.786,100.0,5628.0,74.71,134.9256,7.4142
2027-04-09,277.21918,114.9991,0.152,163.8492,176.3436,69.2301,20.5702,2910.0801,1421.2731,13.1515,102.1771,148.27,13.786,100.0,5628.0,74.71,129.9197,7.4117
2027-04-16,278.5809,115.5639,0.1008,167.8685,169.4939,69.6408,21.7828,2775.3572,1455.8352,11.8142,102.6295,148.27,13.786,100.0,5628.0,74.71,130.5125,7.4445
