feature,importance
fx_effect_rmin13,19
Target_Proxy_rmin8,18
iron_ore_rmax8,18
bdry_freight_rm4,18
bdry_freight_rmax4,18
india_steel_lag6,18
usd_inr_lag26,18
cny_inr_lag8,18
iron_ore_rm13,17
bdry_freight_lag2,17
al_price_lag2,17
carbon_emissions_futures_rm13,17
electricity_power_index_lag4,17
fx_effect_rmin8,17
steel_etf_lag8,16
bdry_freight_lag4,16
usd_inr_lag8,16
silica_quartz_index_rmax4,16
cny_inr_rmin4,16
electricity_power_index_rmin4,16
india_steel,15
iron_ore_rmin8,15
al_price_rm8,15
cny_inr_lag2,15
cny_inr_lag4,15
hydrology_rainfall_index_rm13,15
Target_Proxy_rmin26,14
thermal_coal_futures_rm4,14
thermal_coal_futures_rm26,14
bdry_freight_lag6,14
india_steel_rmin8,14
cny_inr_rmin8,14
cny_inr_rm26,14
carbon_emissions_futures_rmin4,14
electricity_power_index_lag26,14
fx_effect_rm13,14
steel_etf_rmin8,13
iron_ore_rmin26,13
thermal_coal_futures_rm13,13
india_steel_lag13,13
electricity_power_index_rmax4,13
Target_Proxy_rmin13,12
bdry_freight_rmin13,12
al_price_rmax4,12
india_steel_lag2,12
india_steel_rmax13,12
electricity_power_index_rmin8,12
iron_ore_rm8,11
iron_ore_rmin13,11
thermal_coal_futures_rmin4,11
thermal_coal_futures_rmax26,11
bdry_freight_rm26,11
india_steel_lag8,11
india_steel_rmax26,11
electricity_power_index_rm13,11
steel_etf_rm4,10
usd_inr_lag2,10
usd_inr_rmax4,10
steel_etf_rmax8,9
iron_ore_rmax26,9
thermal_coal_futures_rmax4,9
hydrology_rainfall_index_rz13,9
zce_fesi_futures_rmin26,9
steel_etf_rmin26,8
iron_ore_rmin4,8
al_price_rmax26,8
cny_inr_rmax4,8
electricity_power_index_lag2,8
electricity_power_index_rm26,8
steel_etf_rmax13,7
iron_ore_rmax13,7
bdry_freight_rmin26,7
al_price_rm4,7
usd_inr_rm13,7
carbon_emissions_futures_rmax13,7
electricity_power_index_rmax8,7
electricity_power_index_rmax13,7
steel_etf_rm26,6
thermal_coal_futures_rmax13,6
al_price_rmax8,6
al_price_rm13,6
india_steel_rm4,6
usd_inr_lag1,6
silica_quartz_index_rmax13,6
hydrology_rainfall_index_lag26,6
hydrology_rainfall_index_rm4,6
bdry_freight_rm13,5
al_price_rmin13,5
usd_inr_rmax8,5
usd_inr_rm26,5
silica_quartz_index_rmin8,5
silica_quartz_index_rmin26,5
cny_inr_rm13,5
cny_inr_rmin13,5
hydrology_rainfall_index_lag2,5
hydrology_rainfall_index_rm8,5
steel_etf_rmin13,4
thermal_coal_futures_rm8,4
thermal_coal_futures_rmin8,4
bdry_freight_rm8,4
bdry_freight_rmin8,4
al_price_rmax13,4
india_steel_rmax8,4
usd_inr_rm4,4
cny_inr_rm4,4
cny_inr_rm8,4
cny_inr_rmax8,4
hydrology_rainfall_index_rz8,4
carbon_emissions_futures_rmin13,4
thermal_coal_futures_rmin13,3
thermal_coal_futures_rmin26,3
bdry_freight_rmax8,3
bdry_freight_rmax13,3
al_price_rmin26,3
india_steel_rmin4,3
india_steel_rm13,3
india_steel_rmin26,3
usd_inr_rmin4,3
cny_inr_rmax26,3
